logFC	AveExpr	t	P.Value	adj.P.Val	B
HDAC2	-2.38503047619047	8.98167391304348	-5.67340872666545	1.09330127728397e-06	5.86335246400719e-06	5.32666915605419
GFAP	3.7577380952381	14.8568260869565	5.67174634729128	1.09937858700135e-06	5.86335246400719e-06	5.32128391321879
RPS10	-1.65365452380953	9.80772173913043	-5.66079511160022	1.14026285309007e-06	6.04112769849045e-06	5.28581249889768
RPA1	-1.1508719047619	8.29411086956522	-5.6546014174245	1.1640519565989e-06	6.12658924525738e-06	5.26575470981369
CLN3	1.19599523809524	6.12981304347826	5.61526557988831	1.32709449264417e-06	6.89399736438529e-06	5.13843457672825
SETD1B	1.31144309523809	8.5960847826087	5.60365478967982	1.37942555565171e-06	7.07397720847029e-06	5.10087579753998
PLXDC2	1.8739630952381	9.33760869565217	5.59345766455759	1.42707477452779e-06	7.23445258568967e-06	5.06789865174545
LDHA	-2.03419047619047	11.2734086956522	-5.56321958183593	1.57820931379239e-06	7.89104656896195e-06	4.97015874876292
KDM1A	-1.07233904761905	8.74248913043478	-5.55537090340927	1.61997376045239e-06	8.0495590581485e-06	4.94480137831829
PAK1	-1.88336904761905	11.6160217391304	-5.54150445747331	1.69646261949052e-06	8.37759318266926e-06	4.90001457294164
NTHL1	-2.26069452380952	5.98693260869565	-5.53383980042035	1.74027124260441e-06	8.54120855265969e-06	4.87526576930319
MAP3K14	2.1003780952381	7.55669565217391	5.50130841675417	1.93906998237925e-06	9.45887796282563e-06	4.77028067738508
GBA	-1.3260530952381	8.70412826086956	-5.47788248775226	2.09604790133917e-06	1.00878892653464e-05	4.69473963363481
MYC	2.09358952380953	6.42915434782609	5.47647854191668	2.10584688414106e-06	1.00878892653464e-05	4.69021397134082
NPL	1.901525	6.60690434782609	5.46929333927271	2.15671358463928e-06	1.02646876273934e-05	4.66705513972475
FKBP5	2.43199142857143	8.40864347826087	5.46766423663337	2.16841526128686e-06	1.02646876273934e-05	4.66180500764118
FEN1	-2.42407404761905	7.31840652173913	-5.43831972188838	2.39032495514465e-06	1.11828068076943e-05	4.56727946936258
ITGAX	3.59416071428572	6.93385	5.43565531220894	2.41155720439808e-06	1.1193621588348e-05	4.55870091878463
IGF1	-1.48608595238095	5.00847173913044	-5.43452503508719	2.42062066848025e-06	1.1193621588348e-05	4.55506199735214
RAPGEF3	2.34992523809524	7.5882847826087	5.40563258516278	2.66413978449773e-06	1.22489185494149e-05	4.46208614789622
FDXR	1.51587976190476	6.1982652173913	5.36348138809757	3.06364146378297e-06	1.38469670679456e-05	4.32659749409586
IGF1R	1.10037642857143	8.15363043478261	5.34239925915688	3.28520900993089e-06	1.47649843142961e-05	4.25890324493768
CSK	1.25203714285715	9.02283695652174	5.33277284745294	3.39159669506502e-06	1.50737630891778e-05	4.22800926871486
SLC17A6	-2.76715261904761	5.59459565217391	-5.32846761139821	3.44027576881372e-06	1.52056387571877e-05	4.21419584033269
RPL9	-1.55584285714285	12.4058913043478	-5.32341033887526	3.498343741162e-06	1.53773351259868e-05	4.19797214194585
RPL36AL	-1.63426238095238	9.28934130434783	-5.31365798399052	3.61307904248774e-06	1.57948810600557e-05	4.16669480019592
KAT2A	1.75901333333333	9.51409347826087	5.30471100191683	3.72161726827861e-06	1.61809446446896e-05	4.13800994451016
S100A10	2.38540928571428	7.89512608695652	5.29060003884811	3.89940654300118e-06	1.68622985643294e-05	4.09278764870119
TNFRSF25	2.41817333333333	9.58599782608696	5.28869016404527	3.9241078821013e-06	1.68778833638765e-05	4.08666873322824
CHUK	1.01021595238096	9.09382173913044	5.27682604514445	4.08106440034503e-06	1.74590990389092e-05	4.0486677173619
PIK3CD	1.31212071428572	7.43554130434783	5.2635018708883	4.26476426853397e-06	1.81479330575913e-05	4.0060100547953
